saleprice,lot_frontage,lot_shape,overall_qual,year_remod/add,mas_vnr_area,bsmt_qual,electrical,wood_deck_sf,open_porch_sf,bsmt_exposure,bsmtfin_type_1,heating_qc,kitchen_qual,totrms_abvgrd,fireplace_qu,garage_yr_blt,garage_finish,garage_area,garage_qual,paved_drive,house_age,house_area,location,total_bath,ms_subclass_30,ms_subclass_60,ms_zoning_RM,mas_vnr_type_None,foundation_PConc,foundation_CBlock,central_air_Y,garage_type_Attchd,garage_type_Detchd,sale_type_New
11.779128505744886,70.0,3,6,2005,289.0,3,5,0,44,1,6,5,4,6,0,1976,2,475.0,3,3,3986,2204.0,2,2.5,0,1,0,0,0,1,1,1,0,0
12.301382825334498,43.0,3,7,1997,132.0,4,5,0,74,1,6,5,4,8,3,1997,2,559.0,3,3,4005,3035.0,2,3.5,0,1,0,0,1,0,1,1,0,0
11.59910316121128,68.0,4,5,2007,0.0,3,5,0,52,1,6,3,4,5,0,1953,1,246.0,3,3,3963,2114.0,3,2.0,0,0,0,1,0,1,1,0,1,0
12.066810578196666,73.0,4,5,2007,0.0,4,5,100,0,1,1,4,3,7,0,2007,3,400.0,3,3,4016,1828.0,4,2.5,0,1,0,1,1,0,1,0,0,0
11.83862560460953,82.0,3,6,1993,0.0,2,5,0,59,1,1,3,3,6,0,1957,1,484.0,3,1,3910,2121.0,2,2.0,0,0,0,1,1,0,1,0,1,0
12.154779351142624,137.0,3,6,2002,0.0,3,5,0,0,1,5,5,4,6,4,1966,3,578.0,3,3,3976,3405.0,3,2.5,0,0,0,1,0,1,1,1,0,0
11.84939770159144,35.0,4,6,2006,82.0,4,5,0,44,5,6,4,3,5,0,2005,3,525.0,3,3,4011,1619.0,1,3.0,0,0,1,0,1,0,1,0,0,1
11.8635823365834,72.0,3,5,1959,180.0,3,5,0,0,1,3,2,3,6,0,1959,2,531.0,3,3,3969,2376.0,3,2.0,0,0,0,0,0,1,1,1,0,0
11.630708500626612,60.0,4,5,1952,0.0,3,5,0,324,1,3,3,3,6,0,1952,1,420.0,3,3,3959,1848.0,1,1.0,0,0,0,1,0,1,1,0,1,0
11.813030057420567,70.0,3,5,1969,192.0,4,5,335,0,4,3,3,2,9,3,1969,1,504.0,3,3,3976,3120.0,3,2.5,0,1,0,0,1,0,1,1,0,0
11.35510137977666,21.0,4,6,1971,232.0,3,5,0,0,1,5,3,3,4,0,1971,1,264.0,3,3,3979,1470.0,1,1.5,0,0,1,0,0,1,1,0,1,0
12.120514757168529,64.0,3,7,2005,0.0,4,5,105,58,4,6,5,4,6,0,2005,2,632.0,3,3,4011,2416.0,4,2.0,0,0,0,1,1,0,1,1,0,0
11.782952602183288,120.0,4,5,2007,0.0,0,5,0,0,0,0,5,3,7,3,1900,1,576.0,3,2,3889,2016.0,2,1.0,0,0,0,1,1,0,1,1,0,0
12.206072645530174,24.0,4,8,2000,456.0,4,5,169,0,1,6,5,4,7,0,2000,1,480.0,3,3,4007,2567.0,4,3.5,0,0,0,0,1,0,1,0,1,0
12.170445467887022,74.0,4,7,2007,0.0,4,5,0,50,4,6,5,4,6,0,2007,2,610.0,3,3,4015,2712.0,4,2.0,0,0,0,1,1,0,1,1,0,0
12.063932878369052,93.0,4,5,2005,0.0,5,5,0,0,4,1,5,4,7,0,2004,2,624.0,3,3,4014,2860.0,3,2.0,0,0,0,1,1,0,1,1,0,0
11.49272275765271,34.0,4,5,1950,0.0,3,5,0,0,1,1,2,3,7,0,1916,1,513.0,2,3,3924,1968.0,1,1.0,0,0,1,1,0,0,0,0,1,0
11.842229212112828,80.0,4,5,1963,0.0,3,5,0,80,1,3,3,3,5,0,1963,1,480.0,3,3,3972,2242.0,2,2.0,0,0,0,1,1,0,1,0,1,0
11.874090314181814,71.0,4,6,1977,148.0,3,5,138,0,1,1,5,3,7,3,1977,2,528.0,3,3,3984,1945.0,2,1.5,0,0,0,0,0,1,1,1,0,0
12.279323107269766,72.0,4,7,2009,0.0,4,5,169,45,3,6,5,4,7,0,2009,1,614.0,3,3,4019,2303.0,4,2.5,0,1,0,1,1,0,1,1,0,0
11.76756768334381,109.0,4,5,1968,0.0,4,5,0,0,1,4,4,3,5,1,1968,3,450.0,3,3,3975,1788.0,2,1.0,0,0,0,1,0,1,1,1,0,0
12.535376392672774,40.0,3,8,2000,0.0,4,5,212,59,1,6,5,5,5,5,2000,3,499.0,3,3,4009,3160.0,5,3.0,0,0,0,1,1,0,1,1,0,0
12.748783489541202,103.0,3,8,2006,0.0,5,5,243,142,4,1,5,5,8,4,2005,3,575.0,3,3,4011,3462.0,5,2.5,0,1,0,1,1,0,1,1,0,1
12.128111104060462,63.0,3,6,2007,0.0,4,5,483,21,1,5,5,3,6,0,1992,3,420.0,3,3,4002,2355.0,3,3.0,0,0,0,1,1,0,1,1,0,0
11.884489021402713,100.0,4,5,1955,0.0,3,5,264,0,3,3,3,3,5,0,1955,3,572.0,3,3,3961,2112.0,3,2.0,0,0,0,1,0,1,0,1,0,0
12.141534124392605,92.0,3,6,1961,3.0,3,5,0,49,1,3,5,3,6,3,1961,2,530.0,3,3,3970,2906.0,3,3.0,0,0,0,0,0,1,1,1,0,0
11.83862560460953,65.0,4,5,2009,0.0,3,5,416,144,1,6,5,3,5,4,1973,1,336.0,3,3,3975,1788.0,2,2.0,0,0,0,1,0,1,1,0,1,0
12.196022309676671,64.0,3,5,1995,0.0,3,5,0,40,1,4,5,4,7,4,1937,1,240.0,3,3,3945,2880.0,4,2.0,0,0,0,1,0,1,1,0,1,0
11.691908120498669,75.0,4,5,2006,0.0,3,5,0,0,1,1,2,3,9,0,1895,0,0.0,0,1,3902,2948.0,1,2.0,0,0,0,1,0,1,0,0,0,0
11.719126295554126,60.0,4,5,2006,0.0,3,5,0,0,3,1,5,3,6,1,2003,1,576.0,3,3,3956,1596.0,3,1.0,0,0,0,1,0,1,1,0,1,0
12.535376392672774,80.0,4,8,1981,0.0,4,5,474,120,1,5,3,4,9,4,1981,3,542.0,3,3,3990,5048.0,3,3.5,0,0,0,1,1,0,1,1,0,0
12.345834587905332,64.0,3,8,1950,0.0,4,5,0,0,1,1,2,4,7,4,1931,1,400.0,3,3,3935,2309.0,4,1.0,0,0,0,1,1,0,1,0,1,0
12.506177237980513,30.0,3,8,1996,0.0,4,5,0,30,4,2,5,5,6,4,1995,3,481.0,3,3,4001,2988.0,5,2.5,0,0,0,1,1,0,1,1,0,0
11.736069016284436,60.0,4,6,1952,0.0,3,5,0,48,1,5,3,3,5,0,1952,1,410.0,3,1,3959,1896.0,3,1.0,0,0,0,1,0,1,1,0,1,0
12.601487417784837,79.0,4,8,2008,336.0,5,5,208,44,5,6,5,4,7,4,2007,2,826.0,3,3,4016,3423.0,4,3.0,0,0,0,0,1,0,1,1,0,0
11.639558115903595,80.0,3,6,1958,82.0,4,5,0,28,5,1,2,3,5,4,1958,2,384.0,3,3,3967,1302.0,3,1.0,0,0,0,0,0,1,1,0,0,0
11.751942365440728,41.0,4,5,1977,0.0,3,5,104,26,1,5,5,3,6,3,1977,2,336.0,3,3,3983,2232.0,1,2.0,0,0,1,1,1,0,1,1,0,0
12.154779351142624,105.0,3,6,1977,480.0,4,5,0,122,1,4,5,3,7,3,1977,2,546.0,3,3,3987,3688.0,3,2.0,0,0,0,0,0,1,1,1,0,0
12.075394321888057,80.0,4,7,1973,320.0,3,5,0,0,1,5,2,3,6,3,1973,1,528.0,3,3,3980,2484.0,3,1.5,0,0,0,0,0,1,1,1,0,0
11.891361900690471,60.0,2,5,1994,0.0,4,5,256,0,1,6,5,3,5,0,1995,1,384.0,3,3,4001,1980.0,4,2.0,0,0,0,1,1,0,1,0,1,0
11.901583454762012,75.0,4,5,1965,0.0,3,5,736,68,1,4,4,3,6,0,1965,3,276.0,3,3,3973,2512.0,1,2.5,0,0,0,1,0,1,1,1,0,0
13.049792684569493,107.0,4,10,2006,0.0,5,5,216,229,5,6,5,5,7,4,2006,3,850.0,3,3,4012,4152.0,5,3.5,0,0,0,1,1,0,1,1,0,1
12.016726473799254,74.0,3,5,1978,104.0,4,5,303,30,4,6,5,4,4,3,1978,3,602.0,3,3,3987,2207.0,3,2.0,0,0,0,0,1,0,1,1,0,0
11.786762130599955,81.0,4,5,1954,335.0,3,3,0,0,1,1,5,3,7,0,1954,1,352.0,2,3,3962,2845.0,1,2.0,0,0,1,0,0,0,0,1,0,0
11.771436160121729,70.0,4,5,1965,0.0,3,5,0,0,1,3,5,3,5,0,1965,1,384.0,3,3,3973,2080.0,2,2.0,0,0,0,1,0,1,1,0,1,0
12.45712704000522,100.0,3,8,1950,40.0,3,5,0,0,1,2,3,3,9,4,1935,3,786.0,2,3,3943,2481.0,4,1.5,0,0,0,0,1,0,1,0,1,0
11.669929213779891,60.0,4,5,1960,0.0,3,5,0,68,1,2,5,3,6,0,1977,1,660.0,3,3,3950,2588.0,1,2.0,0,0,0,1,0,1,1,0,1,0
11.911701584927595,60.0,4,7,2000,0.0,4,5,0,0,1,1,3,3,6,4,1931,2,270.0,3,2,3939,2278.0,4,1.5,0,0,0,1,0,0,1,1,0,0
11.759785542901756,80.0,4,5,1954,110.0,3,5,0,0,1,3,3,3,6,0,1954,2,280.0,3,3,3964,2119.0,3,2.0,0,0,0,0,0,1,1,1,0,0
11.951180395901384,36.0,4,7,2004,106.0,4,5,0,27,1,1,5,4,6,0,2003,2,474.0,3,3,4011,2390.0,5,2.5,0,0,0,0,1,0,1,0,0,0
12.01974306733868,73.0,4,6,2000,513.0,4,5,0,32,1,6,5,4,4,0,2000,1,440.0,3,3,4006,2280.0,4,2.5,0,0,0,0,1,0,1,0,1,0
11.813030057420567,65.0,4,4,1950,0.0,3,5,431,44,1,4,3,4,7,3,1981,1,576.0,3,3,3937,3103.0,2,3.0,0,0,0,1,0,0,1,0,1,0
12.429216196844385,80.0,3,7,1978,184.0,4,5,0,112,1,4,3,4,12,3,1978,2,564.0,3,3,3984,4176.0,3,4.5,0,1,0,0,0,1,1,1,0,0
