id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_remod/add,roof_style,mas_vnr_type,mas_vnr_area,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,heating,heating_qc,central_air,electrical,low_qual_fin_sf,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_area,garage_qual,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,mo_sold,yr_sold,sale_type,saleprice,house_age,house_area,location,total_bath
109,60,RL,70.0,13517,Pave,3,Lvl,4,CulDSac,3,RRAe,Norm,1Fam,2Story,6,8,2005,Gable,BrkFace,289.0,3,CBlock,3,3,1,6,1,GasA,5,Y,5,0,3,1,4,6,8,0,Attchd,1976,2,475.0,3,3,0,44,0,0,0,3,2010,WD ,11.779128505744886,3986,2204.0,2,2.5
544,60,RL,43.0,11492,Pave,3,Lvl,4,CulDSac,3,Norm,Norm,1Fam,2Story,7,5,1997,Gable,BrkFace,132.0,3,PConc,4,3,1,6,1,GasA,5,Y,5,0,4,1,4,8,8,3,Attchd,1997,2,559.0,3,3,0,74,0,0,0,4,2009,WD ,12.301382825334498,4005,3035.0,2,3.5
153,20,RL,68.0,7922,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,5,7,2007,Gable,None,0.0,4,CBlock,3,3,1,6,1,GasA,3,Y,5,0,3,1,4,5,8,0,Detchd,1953,1,246.0,3,3,0,52,0,0,0,1,2010,WD ,11.59910316121128,3963,2114.0,3,2.0
318,60,RL,73.0,9802,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,2Story,5,5,2007,Gable,None,0.0,3,PConc,4,3,1,1,1,GasA,4,Y,5,0,3,1,3,7,8,0,BuiltIn,2007,3,400.0,3,3,100,0,0,0,0,4,2010,WD ,12.066810578196666,4016,1828.0,4,2.5
255,50,RL,82.0,14235,Pave,3,Lvl,4,Inside,3,Norm,Norm,1Fam,1.5Fin,6,8,1993,Gable,None,0.0,3,PConc,2,4,1,1,1,GasA,3,Y,5,0,3,1,3,6,8,0,Detchd,1957,1,484.0,3,1,0,59,0,0,0,3,2010,WD ,11.83862560460953,3910,2121.0,2,2.0
138,20,RL,137.0,16492,Pave,3,Lvl,4,Corner,3,PosA,Norm,1Fam,1Story,6,6,2002,Gable,None,0.0,3,CBlock,3,3,1,5,3,GasA,5,Y,5,0,2,1,4,6,5,4,Attchd,1966,3,578.0,3,3,0,0,0,0,0,6,2010,WD ,12.154779351142624,3976,3405.0,3,2.5
2827,180,RM,35.0,3675,Pave,4,Lvl,4,Inside,3,Norm,Norm,TwnhsE,SFoyer,6,5,2006,Gable,BrkFace,82.0,3,PConc,4,3,5,6,1,GasA,4,Y,5,0,2,1,3,5,8,0,Basment,2005,3,525.0,3,3,0,44,0,0,0,6,2006,New,11.84939770159144,4011,1619.0,1,3.0
145,20,RL,72.0,12160,Pave,3,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,5,5,1959,Hip,BrkFace,180.0,3,CBlock,3,3,1,3,1,GasA,2,Y,5,0,3,1,3,6,8,0,Attchd,1959,2,531.0,3,3,0,0,0,0,0,5,2010,COD,11.863582336583399,3969,2376.0,3,2.0
1942,20,RL,60.0,15783,Pave,4,Lvl,4,Inside,3,Artery,Norm,1Fam,1Story,5,5,1952,Gable,None,0.0,3,CBlock,3,3,1,3,1,GasA,3,Y,5,0,2,1,3,6,8,0,Detchd,1952,1,420.0,3,3,0,324,0,0,0,6,2007,WD ,11.630708500626612,3959,1848.0,1,1.0
1956,60,RL,70.0,11606,Pave,3,HLS,4,Inside,1,Norm,Norm,1Fam,2Story,5,5,1969,Gable,BrkFace,192.0,3,PConc,4,3,4,3,1,GasA,3,Y,5,0,5,1,2,9,8,3,Attchd,1969,1,504.0,3,3,335,0,0,0,0,9,2007,WD ,11.813030057420567,3976,3120.0,3,2.5
1044,160,RM,21.0,1680,Pave,4,Lvl,4,Inside,3,Norm,Norm,Twnhs,2Story,6,5,1971,Gable,BrkFace,232.0,3,CBlock,3,3,1,5,1,GasA,3,Y,5,0,2,1,3,4,8,0,Detchd,1971,1,264.0,3,3,0,0,0,0,0,7,2008,COD,11.355101379776661,3979,1470.0,1,1.5
2752,20,RL,64.0,7488,Pave,3,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,7,5,2005,Gable,None,0.0,3,PConc,4,3,4,6,1,GasA,5,Y,5,0,2,1,4,6,8,0,Attchd,2005,2,632.0,3,3,105,58,0,0,0,2,2006,WD ,12.120514757168527,4011,2416.0,4,2.0
807,70,RL,120.0,26400,Pave,4,Bnk,4,FR2,3,Feedr,Norm,1Fam,2Story,5,7,2007,Gable,None,0.0,3,PConc,0,0,0,0,0,GasA,5,Y,5,0,4,1,3,7,5,3,Attchd,1900,1,576.0,3,2,0,0,0,0,0,6,2009,WD ,11.782952602183288,3889,2016.0,2,1.0
1177,160,FV,24.0,2645,Pave,4,Lvl,4,Inside,3,Norm,Norm,Twnhs,2Story,8,5,2000,Gable,BrkFace,456.0,3,PConc,4,3,1,6,1,GasA,5,Y,5,0,3,1,4,7,8,0,Detchd,2000,1,480.0,3,3,169,0,0,0,0,12,2008,ConLD,12.206072645530174,4007,2567.0,4,3.5
1480,20,RL,74.0,9627,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,7,5,2007,Gable,None,0.0,3,PConc,4,3,4,6,1,GasA,5,Y,5,0,3,1,4,6,8,0,Attchd,2007,2,610.0,3,3,0,50,0,0,0,6,2008,WD ,12.170445467887022,4015,2712.0,4,2.0
324,20,RL,93.0,10114,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,5,5,2005,Gable,None,0.0,3,PConc,5,3,4,1,1,GasA,5,Y,5,0,3,1,4,7,8,0,Attchd,2004,2,624.0,3,3,0,0,0,0,0,3,2010,WD ,12.063932878369052,4014,2860.0,3,2.0
1311,70,RM,34.0,4571,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,2Story,5,5,1950,Gable,None,0.0,3,BrkTil,3,3,1,1,1,GasA,2,N,5,0,4,1,3,7,8,0,Detchd,1916,1,513.0,2,3,0,0,96,0,0,5,2008,COD,11.49272275765271,3924,1968.0,1,1.0
770,20,RL,80.0,8816,Pave,4,Lvl,4,Corner,3,Feedr,Norm,1Fam,1Story,5,6,1963,Gable,None,0.0,3,PConc,3,3,1,3,1,GasA,3,Y,5,0,3,1,3,5,8,0,Detchd,1963,1,480.0,3,3,0,80,0,0,0,6,2009,WD ,11.842229212112828,3972,2242.0,2,2.0
2063,20,RL,71.0,8197,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,6,5,1977,Gable,BrkFace,148.0,3,CBlock,3,3,1,1,1,GasA,5,Y,5,0,3,1,3,7,8,3,Attchd,1977,2,528.0,3,3,138,0,0,0,0,4,2007,WD ,11.874090314181814,3984,1945.0,2,1.5
69,60,FV,72.0,8640,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,2Story,7,5,2009,Gable,None,0.0,3,PConc,4,3,3,6,1,GasA,5,Y,5,0,3,1,4,7,8,0,Attchd,2009,1,614.0,3,3,169,45,0,0,0,6,2010,Con,12.279323107269766,4019,2303.0,4,2.5
2062,20,RL,109.0,8724,Pave,4,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,5,5,1968,Gable,None,0.0,3,CBlock,4,3,1,4,1,GasA,4,Y,5,0,3,1,3,5,8,1,Attchd,1968,3,450.0,3,3,0,0,0,0,0,5,2007,WD ,11.76756768334381,3975,1788.0,2,1.0
351,120,RL,40.0,5664,Pave,3,Lvl,4,Inside,3,Norm,Norm,TwnhsE,1Story,8,5,2000,Gable,None,0.0,3,PConc,4,3,1,6,1,GasA,5,Y,5,0,2,1,5,5,8,5,Attchd,2000,3,499.0,3,3,212,59,0,0,0,10,2009,WD ,12.535376392672774,4009,3160.0,5,3.0
2393,60,RL,103.0,12867,Pave,3,Lvl,4,Corner,3,Norm,Norm,1Fam,2Story,8,5,2006,Gable,None,0.0,3,PConc,5,3,4,1,1,GasA,5,Y,5,0,3,1,5,8,8,4,Attchd,2005,3,575.0,3,3,243,142,0,0,0,7,2006,New,12.748783489541202,4011,3462.0,5,2.5
12,20,RL,63.0,7980,Pave,3,Lvl,4,Inside,3,Norm,Norm,1Fam,1Story,6,7,2007,Gable,None,0.0,4,PConc,4,3,1,5,1,GasA,5,Y,5,0,3,1,3,6,8,0,Attchd,1992,3,420.0,3,3,483,21,0,0,0,3,2010,WD ,12.128111104060462,4002,2355.0,3,3.0
